sep=;
"Time";"PM10";"PM2.5";"PM1";"PM 4";"PM TOT"
"2024-04-05T00:00:00+00:00";1;1;0;1;1
"2024-04-05T00:05:00+00:00";0;0;0;0;0
"2024-04-05T00:10:00+00:00";0;0;0;0;0
"2024-04-05T00:15:00+00:00";0;0;0;0;0
"2024-04-05T00:20:00+00:00";0;0;0;0;0
"2024-04-05T00:25:00+00:00";1;0;0;1;1
"2024-04-05T00:30:00+00:00";3;2;1;3;3
"2024-04-05T00:35:00+00:00";4;2;1;4;4
"2024-04-05T00:40:00+00:00";3;2;1;2;3
"2024-04-05T00:45:00+00:00";1;1;1;1;1
"2024-04-05T00:50:00+00:00";0;0;0;0;0
"2024-04-05T00:55:00+00:00";2;1;1;2;2
"2024-04-05T01:00:00+00:00";2;1;1;1;2
"2024-04-05T01:05:00+00:00";0;0;0;0;0
"2024-04-05T01:10:00+00:00";0;0;0;0;0
"2024-04-05T01:15:00+00:00";0;0;0;0;0
"2024-04-05T01:20:00+00:00";1;1;0;1;1
"2024-04-05T01:25:00+00:00";1;0;0;1;1
"2024-04-05T01:30:00+00:00";1;1;1;1;1
"2024-04-05T01:35:00+00:00";0;0;0;0;0
"2024-04-05T01:40:00+00:00";0;0;0;0;0
"2024-04-05T01:45:00+00:00";0;0;0;0;0
"2024-04-05T01:50:00+00:00";0;0;0;0;0
"2024-04-05T01:55:00+00:00";0;0;0;0;0
"2024-04-05T02:00:00+00:00";0;0;0;0;0
"2024-04-05T02:05:00+00:00";0;0;0;0;0
"2024-04-05T02:10:00+00:00";0;0;0;0;0
"2024-04-05T02:15:00+00:00";0;0;0;0;0
"2024-04-05T02:20:00+00:00";1;1;1;1;1
"2024-04-05T02:25:00+00:00";2;2;1;2;2
"2024-04-05T02:30:00+00:00";2;2;1;2;2
"2024-04-05T02:35:00+00:00";2;2;1;2;2
"2024-04-05T02:40:00+00:00";1;1;1;1;1
"2024-04-05T02:45:00+00:00";2;2;1;2;2
"2024-04-05T02:50:00+00:00";2;2;1;2;2
"2024-04-05T02:55:00+00:00";2;2;2;2;2
"2024-04-05T03:00:00+00:00";3;3;2;3;3
"2024-04-05T03:05:00+00:00";5;4;3;5;5
"2024-04-05T03:10:00+00:00";5;4;3;5;5
"2024-04-05T03:15:00+00:00";3;3;2;3;3
"2024-04-05T03:20:00+00:00";2;2;1;2;2
"2024-04-05T03:25:00+00:00";2;2;1;2;2
"2024-04-05T03:30:00+00:00";3;3;2;3;3
"2024-04-05T03:35:00+00:00";3;3;2;3;3
"2024-04-05T03:40:00+00:00";3;3;2;3;3
"2024-04-05T03:45:00+00:00";4;3;2;4;4
"2024-04-05T03:50:00+00:00";4;4;3;4;4
"2024-04-05T03:55:00+00:00";4;4;3;4;4
"2024-04-05T04:00:00+00:00";5;4;3;5;5
"2024-04-05T04:05:00+00:00";4;4;2;4;4
"2024-04-05T04:10:00+00:00";5;4;3;5;5
"2024-04-05T04:15:00+00:00";4;4;3;4;4
"2024-04-05T04:20:00+00:00";5;5;3;5;5
"2024-04-05T04:25:00+00:00";5;4;3;5;5
"2024-04-05T04:30:00+00:00";5;5;3;5;5
"2024-04-05T04:35:00+00:00";5;5;4;5;5
"2024-04-05T04:40:00+00:00";6;5;4;6;6
"2024-04-05T04:45:00+00:00";6;6;4;6;6
"2024-04-05T04:50:00+00:00";4;4;3;4;4
"2024-04-05T04:55:00+00:00";2;2;2;2;2
"2024-04-05T05:00:00+00:00";2;2;1;2;2
"2024-04-05T05:05:00+00:00";3;2;2;3;3
"2024-04-05T05:10:00+00:00";3;2;2;3;3
"2024-04-05T05:15:00+00:00";3;3;2;3;3
"2024-04-05T05:20:00+00:00";4;3;2;4;4
"2024-04-05T05:25:00+00:00";3;2;2;3;3
"2024-04-05T05:30:00+00:00";4;4;3;4;4
"2024-04-05T05:35:00+00:00";4;4;3;4;4
"2024-04-05T05:40:00+00:00";3;3;2;3;3
"2024-04-05T05:45:00+00:00";4;4;2;4;4
"2024-04-05T05:50:00+00:00";5;4;3;4;5
"2024-04-05T05:55:00+00:00";4;4;3;4;4
"2024-04-05T06:00:00+00:00";5;4;3;5;5
"2024-04-05T06:05:00+00:00";5;5;4;5;5
"2024-04-05T06:10:00+00:00";5;5;4;5;5
"2024-04-05T06:15:00+00:00";5;5;4;5;5
"2024-04-05T06:20:00+00:00";6;5;4;6;6
"2024-04-05T06:25:00+00:00";5;5;4;5;5
"2024-04-05T06:30:00+00:00";5;5;3;5;5
"2024-04-05T06:35:00+00:00";5;5;4;5;5
"2024-04-05T06:40:00+00:00";5;5;4;5;5
"2024-04-05T06:45:00+00:00";6;5;4;6;6
"2024-04-05T06:50:00+00:00";6;6;4;6;6
"2024-04-05T06:55:00+00:00";5;5;3;5;5
"2024-04-05T07:00:00+00:00";5;4;3;5;5
"2024-04-05T07:05:00+00:00";5;5;3;5;5
"2024-04-05T07:10:00+00:00";5;5;4;5;5
"2024-04-05T07:15:00+00:00";6;5;4;6;6
"2024-04-05T07:20:00+00:00";5;5;4;5;5
"2024-04-05T07:25:00+00:00";5;4;3;5;5
"2024-04-05T07:30:00+00:00";5;5;3;5;5
"2024-04-05T07:35:00+00:00";5;4;3;5;5
"2024-04-05T07:40:00+00:00";5;5;4;5;5
"2024-04-05T07:45:00+00:00";6;5;4;6;6
"2024-04-05T07:50:00+00:00";4;4;3;4;4
"2024-04-05T07:55:00+00:00";5;5;4;5;5
"2024-04-05T08:00:00+00:00";5;5;4;5;5
"2024-04-05T08:05:00+00:00";6;5;4;5;6
"2024-04-05T08:10:00+00:00";6;5;4;6;6
"2024-04-05T08:15:00+00:00";5;5;4;5;5
"2024-04-05T08:20:00+00:00";5;5;3;5;5
"2024-04-05T08:25:00+00:00";5;5;4;5;5
"2024-04-05T08:30:00+00:00";5;5;4;5;5
"2024-04-05T08:35:00+00:00";5;4;3;5;5
"2024-04-05T08:40:00+00:00";5;5;4;5;5
"2024-04-05T08:45:00+00:00";5;5;4;5;5
"2024-04-05T08:50:00+00:00";5;5;4;5;5
"2024-04-05T08:55:00+00:00";5;5;4;5;5
"2024-04-05T09:00:00+00:00";5;5;4;5;5
"2024-04-05T09:05:00+00:00";5;5;4;5;5
"2024-04-05T09:10:00+00:00";5;4;3;5;5
"2024-04-05T09:15:00+00:00";5;5;4;5;5
"2024-04-05T09:20:00+00:00";5;5;4;5;5
"2024-04-05T09:25:00+00:00";5;5;4;5;5
"2024-04-05T09:30:00+00:00";5;4;3;5;5
"2024-04-05T09:35:00+00:00";5;5;4;5;5
"2024-04-05T09:40:00+00:00";4;4;3;4;4
"2024-04-05T09:45:00+00:00";5;4;3;5;5
"2024-04-05T09:50:00+00:00";4;4;3;4;4
"2024-04-05T09:55:00+00:00";5;5;4;5;5
"2024-04-05T10:00:00+00:00";4;4;3;4;4
"2024-04-05T10:05:00+00:00";5;5;4;5;5
"2024-04-05T10:10:00+00:00";5;5;4;5;5
"2024-04-05T10:15:00+00:00";6;5;4;5;6
"2024-04-05T10:20:00+00:00";5;4;3;5;5
"2024-04-05T10:25:00+00:00";4;4;3;4;4
"2024-04-05T10:30:00+00:00";5;5;4;5;5
"2024-04-05T10:35:00+00:00";4;4;3;4;4
"2024-04-05T10:40:00+00:00";5;5;4;5;5
"2024-04-05T10:45:00+00:00";4;4;3;4;4
"2024-04-05T10:50:00+00:00";4;4;4;4;4
"2024-04-05T10:55:00+00:00";5;4;3;4;5
"2024-04-05T11:00:00+00:00";5;4;4;5;5
"2024-04-05T11:05:00+00:00";4;4;3;4;4
"2024-04-05T11:10:00+00:00";4;4;3;4;4
"2024-04-05T11:15:00+00:00";6;4;4;5;6
"2024-04-05T11:20:00+00:00";4;4;3;4;4
"2024-04-05T11:25:00+00:00";4;4;3;4;4
"2024-04-05T11:30:00+00:00";4;4;3;4;4
"2024-04-05T11:35:00+00:00";5;4;4;5;5
"2024-04-05T11:40:00+00:00";4;4;3;4;4
"2024-04-05T11:45:00+00:00";4;4;3;4;4
"2024-04-05T11:50:00+00:00";4;4;4;4;4
"2024-04-05T11:55:00+00:00";15;7;6;7;28
"2024-04-05T12:00:00+00:00";4;4;4;4;4
"2024-04-05T12:05:00+00:00";4;4;4;4;4
"2024-04-05T12:10:00+00:00";5;4;4;5;5
"2024-04-05T12:15:00+00:00";5;4;4;5;5
"2024-04-05T12:20:00+00:00";5;5;4;5;5
"2024-04-05T12:25:00+00:00";5;4;4;5;5
"2024-04-05T12:30:00+00:00";4;4;4;4;4
"2024-04-05T12:35:00+00:00";5;4;4;5;5
"2024-04-05T12:40:00+00:00";5;4;4;5;5
"2024-04-05T12:45:00+00:00";4;4;3;4;4
"2024-04-05T12:50:00+00:00";4;4;4;4;4
"2024-04-05T12:55:00+00:00";5;5;4;5;5
"2024-04-05T13:00:00+00:00";6;6;5;6;6
"2024-04-05T13:05:00+00:00";6;5;5;5;6
"2024-04-05T13:10:00+00:00";6;6;5;6;6
"2024-04-05T13:15:00+00:00";6;6;5;6;6
"2024-04-05T13:20:00+00:00";6;5;5;6;6
"2024-04-05T13:25:00+00:00";6;6;5;6;6
"2024-04-05T13:30:00+00:00";5;5;4;5;5
"2024-04-05T13:35:00+00:00";5;5;4;5;5
"2024-04-05T13:40:00+00:00";6;5;5;6;6
"2024-04-05T13:45:00+00:00";5;5;4;5;5
"2024-04-05T13:50:00+00:00";6;5;5;6;6
"2024-04-05T13:55:00+00:00";6;5;4;6;6
"2024-04-05T14:00:00+00:00";5;4;4;5;5
"2024-04-05T14:05:00+00:00";6;5;4;6;6
"2024-04-05T14:10:00+00:00";null;null;null;null;null
"2024-04-05T14:15:00+00:00";5;5;4;5;5
"2024-04-05T14:20:00+00:00";5;5;4;5;5
"2024-04-05T14:25:00+00:00";4;4;4;4;4
"2024-04-05T14:30:00+00:00";6;5;4;5;6
"2024-04-05T14:35:00+00:00";4;4;4;4;4
"2024-04-05T14:40:00+00:00";5;4;4;5;5
"2024-04-05T14:45:00+00:00";5;4;4;4;5
"2024-04-05T14:50:00+00:00";4;4;3;4;4
"2024-04-05T14:55:00+00:00";4;4;4;4;4
"2024-04-05T15:00:00+00:00";4;4;4;4;4
"2024-04-05T15:05:00+00:00";4;4;3;4;4
