sep=;
"Time";"PM10";"PM2.5";"PM1";"PM 4";"PM TOT"
"2024-04-03T00:00:00+00:00";149;68;53;98;160
"2024-04-03T00:01:00+00:00";148;69;52;101;159
"2024-04-03T00:02:00+00:00";154;68;53;100;165
"2024-04-03T00:03:00+00:00";157;71;54;99;170
"2024-04-03T00:04:00+00:00";170;72;57;105;174
"2024-04-03T00:05:00+00:00";126;61;46;86;127
"2024-04-03T00:06:00+00:00";null;null;null;null;null
"2024-04-03T00:07:00+00:00";117;54;40;80;117
"2024-04-03T00:08:00+00:00";101;48;36;69;103
"2024-04-03T00:09:00+00:00";100;45;35;64;100
"2024-04-03T00:10:00+00:00";72;37;27;52;73
"2024-04-03T00:11:00+00:00";83;39;30;55;83
"2024-04-03T00:12:00+00:00";78;36;28;50;82
"2024-04-03T00:13:00+00:00";74;35;25;50;74
"2024-04-03T00:14:00+00:00";83;39;29;55;85
"2024-04-03T00:15:00+00:00";101;49;37;71;101
"2024-04-03T00:16:00+00:00";null;null;null;null;null
"2024-04-03T00:17:00+00:00";123;55;41;80;125
"2024-04-03T00:18:00+00:00";116;54;40;78;116
"2024-04-03T00:19:00+00:00";133;60;46;87;138
"2024-04-03T00:20:00+00:00";128;61;47;89;134
"2024-04-03T00:21:00+00:00";129;58;45;86;134
"2024-04-03T00:22:00+00:00";104;49;37;73;104
"2024-04-03T00:23:00+00:00";98;47;35;69;109
"2024-04-03T00:24:00+00:00";99;49;36;70;103
"2024-04-03T00:25:00+00:00";null;null;null;null;null
"2024-04-03T00:26:00+00:00";111;53;40;75;128
"2024-04-03T00:27:00+00:00";109;50;38;75;111
"2024-04-03T00:28:00+00:00";149;66;51;93;159
"2024-04-03T00:29:00+00:00";138;61;47;89;147
"2024-04-03T00:30:00+00:00";124;55;43;79;124
"2024-04-03T00:31:00+00:00";107;47;37;71;111
"2024-04-03T00:32:00+00:00";90;43;32;64;92
"2024-04-03T00:33:00+00:00";102;48;37;68;102
"2024-04-03T00:34:00+00:00";111;50;38;70;116
"2024-04-03T00:35:00+00:00";null;null;null;null;null
"2024-04-03T00:36:00+00:00";126;60;46;88;126
"2024-04-03T00:37:00+00:00";98;48;36;70;105
